iso3,countryLabel,flag,start,end
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albanian%20Provisional%20Government%20%281912-1914%29.svg,1912-01-01T00:00:00Z,1914-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281914%E2%80%931920%29.svg,1914-01-01T00:00:00Z,1920-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281920%E2%80%931926%29.svg,1920-01-01T00:00:00Z,1926-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281926%E2%80%931928%29.svg,1926-01-01T00:00:00Z,1928-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281934%E2%80%931939%29.svg,1928-01-01T00:00:00Z,1939-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281939%E2%80%931943%29.svg,1939-01-01T00:00:00Z,1943-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281943%E2%80%931944%29.svg,1943-01-01T00:00:00Z,1944-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281944%E2%80%931946%29.svg,1944-01-01T00:00:00Z,1946-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania%20%281946%E2%80%931992%29.svg,1946-01-01T00:00:00Z,1992-01-01T00:00:00Z
ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania.svg,1992-01-01T00:00:00Z,
AUT,Austria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Habsburg%20Monarchy.svg,1804-08-11T00:00:00Z,1867-03-15T00:00:00Z
AUT,Austria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Austria.svg,1919-10-21T00:00:00Z,1938-03-13T00:00:00Z
AUT,Austria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Austria.svg,1945-05-01T00:00:00Z,
BEL,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium%20%28civil%29.svg,1831-01-23T00:00:00Z,
BEL,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium.svg,1831-01-23T00:00:00Z,
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria%20%28digital%29.svg,,
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria.svg,1879-12-16T00:00:00Z,1947-12-06T00:00:00Z
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria%20%281946%E2%80%931948%29.svg,1947-12-06T00:00:00Z,1948-01-01T00:00:00Z
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria%20%281948%E2%80%931967%29.svg,1948-01-01T00:00:00Z,1968-01-05T00:00:00Z
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria%20%281967%E2%80%931971%29.svg,1968-01-05T00:00:00Z,1971-05-18T00:00:00Z
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria%20%281971%E2%80%931990%29.svg,1971-05-18T00:00:00Z,1990-11-22T00:00:00Z
BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria.svg,1990-11-22T00:00:00Z,
BIH,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bosnia%20and%20Herzegovina%20%281992%E2%80%931998%29.svg,,1998-02-04T00:00:00Z
BIH,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bosnia%20and%20Herzegovina.svg,1998-02-04T00:00:00Z,
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Byelorussian%20Soviet%20Socialist%20Republic%20%281919%E2%80%931927%29.svg,1919-01-01T00:00:00Z,1927-01-01T00:00:00Z
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Byelorussian%20Soviet%20Socialist%20Republic%20%281927%E2%80%931937%29.svg,1927-01-01T00:00:00Z,1937-01-01T00:00:00Z
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Byelorussian%20Soviet%20Socialist%20Republic%20%281937%E2%80%931951%29.svg,1937-01-01T00:00:00Z,1951-12-25T00:00:00Z
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Byelorussian%20Soviet%20Socialist%20Republic%20%281951%E2%80%931991%29.svg,1951-12-25T00:00:00Z,1991-09-19T00:00:00Z
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belarus%20%281918%2C%201991%E2%80%931995%29.svg,1991-09-19T00:00:00Z,1995-06-07T00:00:00Z
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belarus%20%281995%E2%80%932012%29.svg,1995-06-07T00:00:00Z,2012-05-01T00:00:00Z
BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belarus.svg,2012-05-01T00:00:00Z,
CHE,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/Civil%20Ensign%20of%20Switzerland.svg,,
CHE,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/Civil%20Ensign%20of%20Switzerland%20%28Pantone%29.svg,,
CHE,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Switzerland.svg,1889-12-12T00:00:00Z,
CHE,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Switzerland%20%28Pantone%29.svg,1889-12-12T00:00:00Z,
CYP,Cyprus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cyprus%20%281960%29.svg,1960-04-01T00:00:00Z,1960-08-16T00:00:00Z
CYP,Cyprus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cyprus%20%281960%E2%80%932006%29.svg,1960-08-16T00:00:00Z,2006-08-20T00:00:00Z
CYP,Cyprus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cyprus.svg,2006-08-20T00:00:00Z,
CZE,Czech Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Czech%20Republic.svg,1920-03-30T00:00:00Z,
DEU,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany%20%281867%E2%80%931918%29.svg,1867-07-01T00:00:00Z,1918-01-01T00:00:00Z
DEU,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany%20%283-2%29.svg,1919-04-11T00:00:00Z,1933-03-12T00:00:00Z
DEU,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany%20%281867%E2%80%931918%29.svg,1933-03-13T00:00:00Z,1935-09-15T00:00:00Z
DEU,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany%20%281935%E2%80%931945%29.svg,1935-09-16T00:00:00Z,1945-05-08T00:00:00Z
DEU,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany.svg,1949-05-23T00:00:00Z,
DNK,Denmark,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Denmark.svg,,
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281701%E2%80%931760%29.svg,1701-01-01T00:00:00Z,1760-01-01T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281760%E2%80%931785%29.svg,1760-01-01T00:00:00Z,1843-10-13T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281785%E2%80%931873%2C%201875%E2%80%931931%29.svg,1843-10-13T00:00:00Z,1873-01-01T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20First%20Spanish%20Republic.svg,1873-01-01T00:00:00Z,1874-01-01T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281785%E2%80%931873%2C%201875%E2%80%931931%29.svg,1874-01-01T00:00:00Z,1931-04-13T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Second%20Spanish%20Republic.svg,1931-04-14T00:00:00Z,1939-01-01T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281938%E2%80%931945%29.svg,1939-01-01T00:00:00Z,1945-10-11T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281945%E2%80%931977%29.svg,1945-10-11T00:00:00Z,1977-01-21T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain%20%281977%E2%80%931981%29.svg,1977-01-21T00:00:00Z,1981-12-06T00:00:00Z
ESP,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain.svg,1981-12-06T00:00:00Z,
EST,Estonia,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Estonia.svg,,
FIN,Finland,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Finland.svg,1918-05-29T00:00:00Z,
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%28XII-XIII%29.svg,1101-01-01T00:00:00Z,1300-01-01T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Banni%C3%A8re%20de%20France%20style%201500.svg,1301-01-01T00:00:00Z,1600-01-01T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Royal%20Standard%20of%20the%20King%20of%20France.svg,1638-01-01T00:00:00Z,1790-01-01T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%281790%E2%80%931794%29.svg,1790-01-01T00:00:00Z,1794-05-20T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France.svg,1794-05-20T00:00:00Z,1814-01-01T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%281814%E2%80%931830%29.svg,1815-01-01T00:00:00Z,1830-07-27T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France.svg,1830-07-27T00:00:00Z,1958-10-04T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%281958%E2%80%931976%29.svg,1958-10-04T00:00:00Z,1974-05-27T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%281976%E2%80%932020%29.svg,1974-05-27T00:00:00Z,2020-07-13T00:00:00Z
FRA,France,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France.svg,2020-07-13T00:00:00Z,
GBR,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom%20%281-2%29.svg,,
GBR,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom%20%283-5%29.svg,,
GEO,Georgia,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Georgia%20%281990%E2%80%932004%29.svg,1990-01-01T00:00:00Z,2004-01-14T00:00:00Z
GEO,Georgia,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Georgia.svg,2004-01-14T00:00:00Z,
GRC,Greece,http://commons.wikimedia.org/wiki/Special:FilePath/Greek%20Independence%201821.svg,1821-01-01T00:00:00Z,1830-01-01T00:00:00Z
GRC,Greece,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Greece%20%281822-1978%29.svg,1822-01-01T00:00:00Z,1978-01-01T00:00:00Z
GRC,Greece,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Greece.svg,1978-01-01T00:00:00Z,
HRV,Croatia,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Croatia%20%28white%20chequy%29.svg,1990-06-27T00:00:00Z,1990-12-21T00:00:00Z
HRV,Croatia,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Croatia.svg,1990-12-21T00:00:00Z,
HUN,Hungary,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hungary%20%281918%E2%80%931919%29.svg,,
