id;gdp;gdp_per_capita;gdp_source;gdp_year
0;0.00;0.000000;missing_country_gdp;
1;1.42;0.000012;country_total_population_share;2024
2;0.94;0.000012;country_total_population_share;2024
3;2.56;0.000012;country_total_population_share;2024
4;3.36;0.000012;country_total_population_share;2024
5;0.72;0.000012;country_total_population_share;2024
6;2.40;0.000012;country_total_population_share;2024
7;2.50;0.000012;country_total_population_share;2024
8;3.61;0.000012;country_total_population_share;2024
9;11.91;0.000012;country_total_population_share;2024
10;1.52;0.000012;country_total_population_share;2024
11;1.49;0.000012;country_total_population_share;2024
12;4.72;0.000056;country_total_population_share;2024
13;145.43;0.000066;country_total_population_share;2024
14;128.67;0.000066;country_total_population_share;2024
15;25.42;0.000066;country_total_population_share;2024
16;34.97;0.000066;country_total_population_share;2024
17;65.42;0.000066;country_total_population_share;2024
18;48.21;0.000066;country_total_population_share;2024
19;48.46;0.000066;country_total_population_share;2024
20;107.62;0.000066;country_total_population_share;2024
21;79.92;0.000064;country_total_population_share;2024
22;95.27;0.000064;country_total_population_share;2024
23;80.48;0.000064;country_total_population_share;2024
24;63.98;0.000064;country_total_population_share;2024
25;59.46;0.000064;country_total_population_share;2024
26;50.78;0.000064;country_total_population_share;2024
27;49.14;0.000064;country_total_population_share;2024
28;23.62;0.000064;country_total_population_share;2024
29;164.25;0.000064;country_total_population_share;2024
30;94.28;0.000064;country_total_population_share;2024
31;10.76;0.000022;country_total_population_share;2024
32;2.92;0.000022;country_total_population_share;2024
33;5.73;0.000022;country_total_population_share;2024
34;1.95;0.000022;country_total_population_share;2024
35;3.04;0.000022;country_total_population_share;2024
36;6.21;0.000022;country_total_population_share;2024
37;3.12;0.000022;country_total_population_share;2024
38;2.94;0.000022;country_total_population_share;2024
39;7.92;0.000022;country_total_population_share;2024
40;2.59;0.000022;country_total_population_share;2024
41;5.15;0.000022;country_total_population_share;2024
42;4.02;0.000022;country_total_population_share;2024
43;4.04;0.000022;country_total_population_share;2024
44;5.96;0.000022;country_total_population_share;2024
45;5.54;0.000022;country_total_population_share;2024
46;4.13;0.000022;country_total_population_share;2024
47;2.50;0.000022;country_total_population_share;2024
48;12.10;0.000022;country_total_population_share;2024
49;17.58;0.000022;country_total_population_share;2024
50;7.99;0.000022;country_total_population_share;2024
51;4.68;0.000022;country_total_population_share;2024
52;4.13;0.000022;country_total_population_share;2024
53;2.75;0.000022;country_total_population_share;2024
54;2.62;0.000022;country_total_population_share;2024
55;2.59;0.000022;country_total_population_share;2024
56;6.18;0.000022;country_total_population_share;2024
57;3.07;0.000022;country_total_population_share;2024
58;1.32;0.000011;country_total_population_share;2024
59;1.37;0.000011;country_total_population_share;2024
60;3.67;0.000011;country_total_population_share;2024
61;2.00;0.000011;country_total_population_share;2024
62;0.96;0.000011;country_total_population_share;2024
63;0.84;0.000011;country_total_population_share;2024
64;2.17;0.000011;country_total_population_share;2024
65;0.62;0.000011;country_total_population_share;2024
66;0.91;0.000011;country_total_population_share;2024
67;1.41;0.000011;country_total_population_share;2024
68;1.41;0.000011;country_total_population_share;2024
69;1.26;0.000011;country_total_population_share;2024
70;0.90;0.000011;country_total_population_share;2024
71;0.58;0.000011;country_total_population_share;2024
72;16.80;0.000011;country_total_population_share;2024
73;16.91;0.000010;country_total_population_share;2024
74;16.55;0.000010;country_total_population_share;2024
75;13.65;0.000010;country_total_population_share;2024
76;12.54;0.000010;country_total_population_share;2024
77;12.37;0.000010;country_total_population_share;2024
78;18.54;0.000010;country_total_population_share;2024
79;63.78;0.000120;country_total_population_share;2024
80;65.52;0.000120;country_total_population_share;2024
81;36.78;0.000120;country_total_population_share;2024
82;51.27;0.000120;country_total_population_share;2024
83;282.03;0.000120;country_total_population_share;2024
84;125.76;0.000120;country_total_population_share;2024
85;94.14;0.000120;country_total_population_share;2024
86;50.66;0.000120;country_total_population_share;2024
87;148.18;0.000120;country_total_population_share;2024
88;14.68;0.000120;country_total_population_share;2024
89;75.94;0.000120;country_total_population_share;2024
90;6.76;0.000120;country_total_population_share;2024
91;59.10;0.000120;country_total_population_share;2024
92;2.89;0.000034;country_total_population_share;2024
93;20.24;0.000034;country_total_population_share;2024
94;14.57;0.000034;country_total_population_share;2024
95;5.46;0.000034;country_total_population_share;2024
96;35.46;0.000038;country_total_population_share;2024
