id;population;population_source;population_date;source_region;source_country;match_method
0;122187;matched_scaled_official;2022-01-01;Dibër County;Albania;matched
1;81136;matched_scaled_official;2022-01-01;Kukës County;Albania;matched
2;219991;matched_scaled_official;2022-01-01;Korçë County;Albania;matched
3;288907;matched_scaled_official;2022-01-01;Elbasan County;Albania;matched
4;61635;matched_scaled_official;2022-01-01;Gjirokastër County;Albania;matched
5;206223;matched_scaled_official;2022-01-01;Vlorë County;Albania;matched
6;215203;matched_scaled_official;2022-01-01;Shkodër County;Albania;matched
7;310427;matched_scaled_official;2022-01-01;Fier County;Albania;matched
8;1025241;matched_scaled_official;2022-01-01;Tirana County;Albania;matched
9;130770;matched_scaled_official;2022-01-01;Lezhë County;Albania;matched
10;128280;matched_scaled_official;2022-01-01;Berat County;Albania;matched
11;2469722;matched_scaled_official;2020-01-01;Lower Austria;Austria;matched
12;2185242;matched_scaled_official;2020-01-01;Upper Austria;Austria;matched
13;431741;matched_scaled_official;2020-01-01;Burgenland;Austria;matched
14;593811;matched_scaled_official;2022-06-30;Vorarlberg;Austria;matched
15;818814;matched_scaled_official;2020-01-01;Salzburg;Austria;matched
16;823042;matched_scaled_official;2020-01-01;Carinthia;Austria;matched
17;1827628;matched_scaled_official;2020-01-01;Styria;Austria;matched
18;4223390;imputed_scaled_official;2023-01-01;;;unmatched
19;843097;imputed_scaled_official;2023-01-01;;;unmatched
20;1022803;imputed_scaled_official;2023-01-01;;;unmatched
21;956142;imputed_scaled_official;2023-01-01;;;unmatched
22;1139777;imputed_scaled_official;2023-01-01;;;unmatched
23;962779;imputed_scaled_official;2023-01-01;;;unmatched
24;765361;imputed_scaled_official;2023-01-01;;;unmatched
25;711346;imputed_scaled_official;2023-01-01;;;unmatched
26;607457;imputed_scaled_official;2023-01-01;;;unmatched
27;587848;imputed_scaled_official;2023-01-01;;;unmatched
28;498069;matched_scaled_official;2024-12-31;Burgas;Bulgaria;matched
29;135018;matched_scaled_official;2024-12-31;Yambol;Bulgaria;matched
30;265551;matched_scaled_official;2024-12-31;Haskovo;Bulgaria;matched
31;90340;matched_scaled_official;2024-12-31;Vidin;Bulgaria;matched
32;140726;matched_scaled_official;2024-12-31;Pernik;Bulgaria;matched
33;287763;matched_scaled_official;2024-12-31;Sofia Oblast;Bulgaria;matched
34;135917;matched_scaled_official;2024-12-31;Kyustendil;Bulgaria;matched
35;366692;matched_scaled_official;2024-12-31;Blagoevgrad;Bulgaria;matched
36;119804;matched_scaled_official;2024-12-31;Silistra;Bulgaria;matched
37;238320;matched_scaled_official;2024-12-31;Ruse;Bulgaria;matched
38;185960;matched_scaled_official;2024-12-31;Dobrich;Bulgaria;matched
39;186978;matched_scaled_official;2024-12-31;Vratsa;Bulgaria;matched
40;275757;matched_scaled_official;2024-12-31;Pleven;Bulgaria;matched
41;256659;matched_scaled_official;2024-12-31;Veliko Tarnovo;Bulgaria;matched
42;191429;matched_scaled_official;2024-12-31;Kardzhali;Bulgaria;matched
43;115943;matched_scaled_official;2024-12-31;Smolyan;Bulgaria;matched
44;560311;matched_scaled_official;2024-12-31;Varna;Bulgaria;matched
45;814018;matched_scaled_official;2024-12-31;Plovdiv;Bulgaria;matched
46;369770;matched_scaled_official;2024-12-31;Stara Zagora;Bulgaria;matched
47;216813;matched_scaled_official;2024-12-31;Sliven;Bulgaria;matched
48;191175;matched_scaled_official;2024-12-31;Shumen;Bulgaria;matched
49;127373;matched_scaled_official;2024-12-31;Razgrad;Bulgaria;matched
50;121323;matched_scaled_official;2024-12-31;Targovishte;Bulgaria;matched
51;120147;matched_scaled_official;2024-12-31;Gabrovo;Bulgaria;matched
52;286218;matched_scaled_official;2024-12-31;Pazardzhik;Bulgaria;matched
53;141926;matched_scaled_official;2024-12-31;Lovech;Bulgaria;matched
54;252142;imputed_scaled_official;2023-01-01;;;unmatched
55;241800;imputed_scaled_official;2023-01-01;;;unmatched
56;72775;imputed_scaled_official;2023-01-01;;;unmatched
57;279028;imputed_scaled_official;2023-01-01;;;unmatched
58;187024;imputed_scaled_official;2023-01-01;;;unmatched
59;194566;imputed_scaled_official;2023-01-01;;;unmatched
60;519820;imputed_scaled_official;2023-01-01;;;unmatched
61;282578;imputed_scaled_official;2023-01-01;;;unmatched
62;136244;imputed_scaled_official;2023-01-01;;;unmatched
63;118895;imputed_scaled_official;2023-01-01;;;unmatched
64;307732;imputed_scaled_official;2023-01-01;;;unmatched
65;88266;matched_scaled_official;2013-01-01;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina;matched
66;129001;imputed_scaled_official;2023-01-01;;;unmatched
67;199838;imputed_scaled_official;2023-01-01;;;unmatched
68;200291;imputed_scaled_official;2023-01-01;;;unmatched
69;1708382;matched_scaled_official;2025-01-01;Gomel Region;Belarus;matched
70;1672283;matched_scaled_official;2025-01-01;Brest Region;Belarus;matched
71;1379165;matched_scaled_official;2025-01-01;Vitebsk Region;Belarus;matched
72;1267007;matched_scaled_official;2025-01-01;Grodno Region;Belarus;matched
73;1249621;matched_scaled_official;2025-01-01;Mogilev region;Belarus;matched
