source_country;unmatched_source_rows;unique_unmatched_regions
Slovenia;219;219
Latvia;87;87
North Macedonia;80;80
France;65;65
Czechoslovakia;55;55
Lithuania;42;42
Serbia;31;31
Russia;22;22
Moldova;22;22
Ottoman Empire;22;22
Montenegro;21;21
Soviet Union;16;16
Hungary;15;15
Kingdom of Romania;14;14
United Kingdom;14;14
Italy;14;14
Luxembourg;13;13
Switzerland;13;13
Liechtenstein;11;11
German Democratic Republic;10;10
San Marino;9;9
Jersey;7;7
Andorra;7;7
Spain;7;7
Second Polish Republic;7;7
Holy Roman Empire;7;7
Poland;6;6
Federal People's Republic of Yugoslavia;5;5
Germany;5;5
Democratic Federal Yugoslavia;5;5
Norway;4;4
Socialist Federal Republic of Yugoslavia;4;4
Polish People's Republic;4;4
Kingdom of Yugoslavia;4;4
Kingdom of Serbs, Croats and Slovenes;4;4
Ireland;4;4
German Reich;4;4
Georgia;4;4
Kingdom of Bulgaria;4;4
Kingdom of Serbia;4;4
Czech Republic;3;3
Belgium;3;3
Finland;3;3
Isle of Man;3;3
Republic of Abkhazia;3;3
Socialist Republic of Macedonia;3;3
Cyprus;2;2
Ukraine;2;2
Greece;2;2
Crown of the Kingdom of Poland;1;1
Albania;1;1
Austria;1;1
Bosnia and Herzegovina;1;1
Cisalpine Republic;1;1
Czechoslovak Republic;1;1
County of Württemberg;1;1
Croatia;1;1
Duchy of Württemberg;1;1
First Republic of Austria;1;1
Denmark;1;1
Iceland;1;1
Independent State of Croatia;1;1
Kosovo;1;1
Kingdom of Württemberg;1;1
Kingdom of France;1;1
Kingdom of Hungary;1;1
Kingdom of Bavaria;1;1
Hesse-Homburg;1;1
North German Confederation;1;1
Nazi Germany;1;1
Romania;1;1
Portugal;1;1
Polish–Lithuanian Commonwealth;1;1
Old Swiss Confederacy;1;1
Slovak Republic;1;1
Russian Republic;1;1
Transnistria;1;1
Yugoslavia;1;1
