source_country;source_region;rows
Albania;Durrës County;1
Andorra;Andorra la Vella;1
Andorra;Canillo;1
Andorra;Encamp;1
Andorra;Escaldes-Engordany;1
Andorra;La Massana;1
Andorra;Ordino;1
Andorra;Sant Julià de Lòria;1
Austria;Vienna;1
Belgium;Brussels-Capital Region;1
Belgium;German-speaking Community of Belgium;1
Belgium;Wallonia;1
Bosnia and Herzegovina;Brčko District;1
Cisalpine Republic;Adda;1
County of Württemberg;Württemberg;1
Croatia;Međimurje County;1
Crown of the Kingdom of Poland;Rawa Voivodeship;1
Cyprus;Kyrenia District;1
Cyprus;Larnaca District;1
Czech Republic;Northern Bohemia;1
Czech Republic;Prague;1
Czech Republic;Southern Bohemia;1
Czechoslovak Republic;Q90818610;1
Czechoslovakia;Autonomous Land of Slovakia;1
Czechoslovakia;Bratislava region (1948 – 1960);1
Czechoslovakia;Brno Region;1
Czechoslovakia;Central Slovakia;1
Czechoslovakia;Eastern Slovakia;1
Czechoslovakia;Hradec Králové Region;1
Czechoslovakia;Karlovarský kraj;1
Czechoslovakia;Land of Moravia;1
Czechoslovakia;Moravian-Silesian country;1
Czechoslovakia;Ostrava region;1
Czechoslovakia;Q10861593;1
Czechoslovakia;Q11177290;1
Czechoslovakia;Q11247545;1
Czechoslovakia;Q12018407;1
Czechoslovakia;Q12024718;1
Czechoslovakia;Q12031326;1
Czechoslovakia;Q12040959;1
Czechoslovakia;Q12043819;1
Czechoslovakia;Q12045981;1
Czechoslovakia;Q12046621;1
Czechoslovakia;Q12046944;1
Czechoslovakia;Q13425116;1
Czechoslovakia;Q27917023;1
Czechoslovakia;Q56219884;1
Czechoslovakia;Q66022735;1
Czechoslovakia;Q66022759;1
Czechoslovakia;Q66022806;1
Czechoslovakia;Q67032769;1
Czechoslovakia;Q8534961;1
Czechoslovakia;Q90818597;1
Czechoslovakia;Q90818603;1
Czechoslovakia;Q90818604;1
Czechoslovakia;Q90818609;1
Czechoslovakia;Q90818610;1
Czechoslovakia;Q90884090;1
Czechoslovakia;Q91122357;1
Czechoslovakia;Q91122362;1
Czechoslovakia;Q91122364;1
Czechoslovakia;Q91122367;1
Czechoslovakia;Q91122372;1
Czechoslovakia;Q91122375;1
Czechoslovakia;Q91122380;1
Czechoslovakia;Q91122384;1
Czechoslovakia;Q91122389;1
Czechoslovakia;Q91122392;1
Czechoslovakia;Q91122399;1
Czechoslovakia;Q91122401;1
Czechoslovakia;Q91122406;1
Czechoslovakia;Q91122410;1
Czechoslovakia;Q91785411;1
Czechoslovakia;Q91809911;1
Czechoslovakia;Western Slovakia;1
Czechoslovakia;Země Slezská;1
Czechoslovakia;Země Česká;1
Czechoslovakia;Žilina region (1948 – 1960);1
Democratic Federal Yugoslavia;Aračinovo Municipality;1
Democratic Federal Yugoslavia;Dojran Municipality;1
Democratic Federal Yugoslavia;Petrovec Municipality;1
Democratic Federal Yugoslavia;Staro Nagoričane Municipality;1
Democratic Federal Yugoslavia;Valandovo Municipality;1
Denmark;North Jutland Region;1
Duchy of Württemberg;Württemberg;1
Federal People's Republic of Yugoslavia;Aračinovo Municipality;1
Federal People's Republic of Yugoslavia;Dojran Municipality;1
Federal People's Republic of Yugoslavia;Petrovec Municipality;1
Federal People's Republic of Yugoslavia;Staro Nagoričane Municipality;1
Federal People's Republic of Yugoslavia;Valandovo Municipality;1
Finland;Kanta-Häme;1
Finland;Southwest Finland;1
Finland;Åland;1
First Republic of Austria;Styria;1
France;Anaa;1
France;Arue;1
France;Arutua;1
France;Auvergne;1
France;Bora-Bora;1
France;Bourgogne-Franche-Comté;1
France;Brittany;1
France;Burgundy;1
France;Corsica;1
France;Fakarava;1
France;Fangatau;1
France;Fatu-Hiva;1
France;Faʻaʻā;1
France;Franche-Comté;1
France;French Guiana;1
France;French Polynesia;1
France;Guadeloupe;1
France;Hao;1
France;Hikueru;1
France;Hitiaa O Te Ra;1
France;Hiva-Oa;1
France;Languedoc-Roussillon;1
France;Lower Normandy;1
France;Makemo;1
France;Maupiti;1
France;Mayotte;1
France;Moorea-Maiao;1
France;Napuka;1
France;New Caledonia;1
France;Normandy;1
France;Nuku-Hiva;1
France;Nukutavake;1
France;Occitania;1
France;Paea;1
France;Papara;1
France;Papeete;1
France;Picardy;1
France;Pirae;1
France;Provence-Alpes-Côte d'Azur;1
France;Pukapuka;1
France;Punaauia;1
