country_a;country_b;relationship_score;is_border;same_ideology;gdp_pc_ratio;relationship_source;relationship_year
AEO;ALB;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;AND;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;AUT;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;BEL;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;BGR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;BIH;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;BLR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;CHE;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;CYP;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;CZE;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;DEU;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;DNK;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;ESP;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;EST;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;FIN;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;FRA;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;GBR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;GEO;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;GRC;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;HRV;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;HUN;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;IRL;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;ISL;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;ITA;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;KOS;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;LIE;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;LTU;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;LUX;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;LVA;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;MDA;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;MKD;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;MLT;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;MNE;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;NLD;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;NOR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;POL;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;PRT;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;ROU;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;RUS;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;SMR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;SRB;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;SVK;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;SVN;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;SWE;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;TUR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
AEO;UKR;-15.00;0;0;0.000000;heuristic_border_ideology_gdp;
ALB;AND;-50.00;0;0;4.777276;heuristic_border_ideology_gdp;
ALB;AUT;15.00;0;1;5.680897;heuristic_border_ideology_gdp;
ALB;BEL;-50.00;0;0;5.540222;heuristic_border_ideology_gdp;
ALB;BGR;25.00;0;1;1.899772;heuristic_border_ideology_gdp;
ALB;BIH;30.00;0;1;1.030147;heuristic_border_ideology_gdp;
ALB;BLR;-35.00;0;0;1.174431;heuristic_border_ideology_gdp;
ALB;CHE;5.00;0;1;10.318013;heuristic_border_ideology_gdp;
ALB;CYP;25.00;0;1;2.946919;heuristic_border_ideology_gdp;
ALB;CZE;15.00;0;1;3.292242;heuristic_border_ideology_gdp;
ALB;DEU;15.00;0;1;5.418334;heuristic_border_ideology_gdp;
ALB;DNK;-60.00;0;0;7.218125;heuristic_border_ideology_gdp;
ALB;ESP;-50.00;0;0;3.614348;heuristic_border_ideology_gdp;
ALB;EST;15.00;0;1;3.205143;heuristic_border_ideology_gdp;
ALB;FIN;15.00;0;1;5.145478;heuristic_border_ideology_gdp;
ALB;FRA;15.00;0;1;4.475811;heuristic_border_ideology_gdp;
ALB;GBR;-50.00;0;0;5.322651;heuristic_border_ideology_gdp;
ALB;GEO;30.00;0;1;1.078782;heuristic_border_ideology_gdp;
ALB;GRC;50.00;1;1;2.521632;heuristic_border_ideology_gdp;
ALB;HRV;25.00;0;1;2.528207;heuristic_border_ideology_gdp;
ALB;HUN;25.00;0;1;2.424057;heuristic_border_ideology_gdp;
ALB;IRL;5.00;0;1;12.085002;heuristic_border_ideology_gdp;
ALB;ISL;5.00;0;1;9.825697;heuristic_border_ideology_gdp;
ALB;ITA;15.00;0;1;3.945995;heuristic_border_ideology_gdp;
ALB;KOS;50.00;1;1;1.957668;heuristic_border_ideology_gdp;
ALB;LIE;-60.00;0;0;15.829787;heuristic_border_ideology_gdp;
ALB;LTU;15.00;0;1;3.126706;heuristic_border_ideology_gdp;
ALB;LUX;-60.00;0;0;13.836939;heuristic_border_ideology_gdp;
ALB;LVA;25.00;0;1;2.404740;heuristic_border_ideology_gdp;
ALB;MDA;25.00;0;1;1.532929;heuristic_border_ideology_gdp;
ALB;MKD;55.00;1;1;1.374114;heuristic_border_ideology_gdp;
ALB;MLT;15.00;0;1;3.495028;heuristic_border_ideology_gdp;
ALB;MNE;55.00;1;1;1.118688;heuristic_border_ideology_gdp;
ALB;NLD;-60.00;0;0;6.791630;heuristic_border_ideology_gdp;
ALB;NOR;-60.00;0;0;8.489832;heuristic_border_ideology_gdp;
ALB;POL;25.00;0;1;2.609057;heuristic_border_ideology_gdp;
ALB;PRT;25.00;0;1;2.958589;heuristic_border_ideology_gdp;
ALB;ROU;25.00;0;1;2.013860;heuristic_border_ideology_gdp;
ALB;RUS;-35.00;0;0;1.499224;heuristic_border_ideology_gdp;
ALB;SMR;5.00;0;1;6.047505;heuristic_border_ideology_gdp;
ALB;SRB;30.00;0;1;1.461231;heuristic_border_ideology_gdp;
ALB;SVK;25.00;0;1;2.657152;heuristic_border_ideology_gdp;
ALB;SVN;15.00;0;1;3.479404;heuristic_border_ideology_gdp;
ALB;SWE;-50.00;0;0;5.801945;heuristic_border_ideology_gdp;
ALB;TUR;-40.00;0;0;1.589635;heuristic_border_ideology_gdp;
ALB;UKR;25.00;0;1;1.918009;heuristic_border_ideology_gdp;
AND;AUT;-35.00;0;0;1.189150;heuristic_border_ideology_gdp;
AND;BEL;30.00;0;1;1.159703;heuristic_border_ideology_gdp;
AND;BGR;-40.00;0;0;2.514657;heuristic_border_ideology_gdp;
AND;BIH;-50.00;0;0;4.921298;heuristic_border_ideology_gdp;
AND;BLR;-50.00;0;0;5.610580;heuristic_border_ideology_gdp;
AND;CHE;-40.00;0;0;2.159811;heuristic_border_ideology_gdp;
AND;CYP;-40.00;0;0;1.621109;heuristic_border_ideology_gdp;
AND;CZE;-35.00;0;0;1.451071;heuristic_border_ideology_gdp;
AND;DEU;-35.00;0;0;1.134189;heuristic_border_ideology_gdp;
AND;DNK;25.00;0;1;1.510929;heuristic_border_ideology_gdp;
AND;ESP;55.00;1;1;1.321753;heuristic_border_ideology_gdp;
AND;EST;-35.00;0;0;1.490503;heuristic_border_ideology_gdp;
AND;FIN;-35.00;0;0;1.077074;heuristic_border_ideology_gdp;
AND;FRA;0.00;1;0;1.067354;heuristic_border_ideology_gdp;
AND;GBR;30.00;0;1;1.114160;heuristic_border_ideology_gdp;
AND;GEO;-50.00;0;0;5.153638;heuristic_border_ideology_gdp;
AND;GRC;-40.00;0;0;1.894518;heuristic_border_ideology_gdp;
AND;HRV;-40.00;0;0;1.889590;heuristic_border_ideology_gdp;
AND;HUN;-40.00;0;0;1.970777;heuristic_border_ideology_gdp;
AND;IRL;-40.00;0;0;2.529685;heuristic_border_ideology_gdp;
AND;ISL;-40.00;0;0;2.056757;heuristic_border_ideology_gdp;
AND;ITA;-35.00;0;0;1.210664;heuristic_border_ideology_gdp;
AND;KOS;-60.00;0;0;9.352322;heuristic_border_ideology_gdp;
AND;LIE;15.00;0;1;3.313559;heuristic_border_ideology_gdp;
AND;LTU;-40.00;0;0;1.527894;heuristic_border_ideology_gdp;
AND;LUX;25.00;0;1;2.896408;heuristic_border_ideology_gdp;
AND;LVA;-40.00;0;0;1.986608;heuristic_border_ideology_gdp;
AND;MDA;-60.00;0;0;7.323225;heuristic_border_ideology_gdp;
AND;MKD;-60.00;0;0;6.564523;heuristic_border_ideology_gdp;
AND;MLT;-35.00;0;0;1.366878;heuristic_border_ideology_gdp;
AND;MNE;-50.00;0;0;4.270427;heuristic_border_ideology_gdp;
AND;NLD;30.00;0;1;1.421653;heuristic_border_ideology_gdp;
AND;NOR;25.00;0;1;1.777128;heuristic_border_ideology_gdp;
AND;POL;-40.00;0;0;1.831036;heuristic_border_ideology_gdp;
AND;PRT;-40.00;0;0;1.614714;heuristic_border_ideology_gdp;
AND;ROU;-40.00;0;0;2.372198;heuristic_border_ideology_gdp;
AND;RUS;-50.00;0;0;3.186500;heuristic_border_ideology_gdp;
AND;SMR;-35.00;0;0;1.265890;heuristic_border_ideology_gdp;
AND;SRB;-50.00;0;0;3.269350;heuristic_border_ideology_gdp;
AND;SVK;-40.00;0;0;1.797893;heuristic_border_ideology_gdp;
AND;SVN;-35.00;0;0;1.373016;heuristic_border_ideology_gdp;
AND;SWE;30.00;0;1;1.214488;heuristic_border_ideology_gdp;
AND;TUR;-50.00;0;0;3.005265;heuristic_border_ideology_gdp;
AND;UKR;-60.00;0;0;9.162861;heuristic_border_ideology_gdp;
AUT;BEL;-35.00;0;0;1.025392;heuristic_border_ideology_gdp;
AUT;BGR;25.00;0;1;2.990304;heuristic_border_ideology_gdp;
AUT;BIH;15.00;0;1;5.852160;heuristic_border_ideology_gdp;
AUT;BLR;-60.00;0;0;6.671820;heuristic_border_ideology_gdp;
AUT;CHE;50.00;1;1;1.816265;heuristic_border_ideology_gdp;
AUT;CYP;25.00;0;1;1.927741;heuristic_border_ideology_gdp;
AUT;CZE;50.00;1;1;1.725540;heuristic_border_ideology_gdp;
AUT;DEU;55.00;1;1;1.048458;heuristic_border_ideology_gdp;
AUT;DNK;-35.00;0;0;1.270596;heuristic_border_ideology_gdp;
AUT;ESP;-40.00;0;0;1.571763;heuristic_border_ideology_gdp;
AUT;EST;25.00;0;1;1.772432;heuristic_border_ideology_gdp;
AUT;FIN;30.00;0;1;1.104056;heuristic_border_ideology_gdp;
AUT;FRA;30.00;0;1;1.269244;heuristic_border_ideology_gdp;
AUT;GBR;-35.00;0;0;1.067306;heuristic_border_ideology_gdp;
AUT;GEO;5.00;0;1;6.128447;heuristic_border_ideology_gdp;
AUT;GRC;25.00;0;1;2.252865;heuristic_border_ideology_gdp;
AUT;HRV;25.00;0;1;2.247006;heuristic_border_ideology_gdp;
AUT;HUN;50.00;1;1;2.343549;heuristic_border_ideology_gdp;
AUT;IRL;25.00;0;1;2.127305;heuristic_border_ideology_gdp;
AUT;ISL;25.00;0;1;1.729603;heuristic_border_ideology_gdp;
AUT;ITA;55.00;1;1;1.439661;heuristic_border_ideology_gdp;
AUT;KOS;5.00;0;1;11.121311;heuristic_border_ideology_gdp;
AUT;LIE;-5.00;1;0;2.786495;heuristic_border_ideology_gdp;
AUT;LTU;25.00;0;1;1.816895;heuristic_border_ideology_gdp;
AUT;LUX;-40.00;0;0;2.435696;heuristic_border_ideology_gdp;
AUT;LVA;25.00;0;1;2.362374;heuristic_border_ideology_gdp;
AUT;MDA;5.00;0;1;8.708411;heuristic_border_ideology_gdp;
AUT;MKD;5.00;0;1;7.806202;heuristic_border_ideology_gdp;
AUT;MLT;25.00;0;1;1.625422;heuristic_border_ideology_gdp;
AUT;MNE;15.00;0;1;5.078177;heuristic_border_ideology_gdp;
AUT;NLD;-35.00;0;0;1.195521;heuristic_border_ideology_gdp;
AUT;NOR;-35.00;0;0;1.494453;heuristic_border_ideology_gdp;
AUT;POL;25.00;0;1;2.177376;heuristic_border_ideology_gdp;
AUT;PRT;25.00;0;1;1.920137;heuristic_border_ideology_gdp;
AUT;ROU;25.00;0;1;2.820899;heuristic_border_ideology_gdp;
AUT;RUS;-50.00;0;0;3.789226;heuristic_border_ideology_gdp;
