ALB;218;123;98
AUT;115;157;133
BEL;67;66;174
BGR;92;201;235
BIH;143;86;233
BLR;142;58;118
CHE;33;101;69
CYP;229;138;196
CZE;189;21;43
DEU;202;235;174
DNK;80;107;132
ESP;197;99;97
EST;50;51;81
FIN;41;152;38
FRA;98;230;235
GBR;77;224;74
GEO;26;145;110
GRC;190;171;135
HRV;134;215;133
HUN;67;64;78
IRL;163;29;184
ISL;79;26;159
ITA;197;125;201
KOS;126;151;73
LTU;70;160;67
LUX;210;192;151
LVA;169;129;171
MDA;125;200;165
MKD;80;180;130
MNE;193;134;101
NLD;196;107;127
NOR;126;128;41
POL;136;93;36
PRT;113;79;146
ROU;143;113;162
RUS;198;217;141
SRB;217;88;30
SVK;119;199;36
SVN;157;128;189
SWE;107;22;160
TUR;112;192;195
UKR;29;142;75
