ALB;143;126;69
AUT;160;98;103
BEL;172;209;204
BGR;221;38;161
BIH;172;105;121
BLR;148;75;80
CHE;155;119;26
CYP;181;187;168
CZE;218;214;208
DEU;212;183;21
DNK;167;206;133
ESP;85;51;70
EST;188;109;71
FIN;104;114;61
FRA;43;124;203
GBR;29;58;43
GEO;193;142;196
GRC;176;86;192
HRV;66;98;147
HUN;204;204;171
IRL;139;64;148
ISL;213;173;65
ITA;166;143;73
KOS;79;132;50
LTU;116;93;86
LUX;61;86;104
LVA;177;176;77
MDA;56;51;158
MKD;26;81;195
MNE;127;181;38
NLD;224;182;87
NOR;224;43;226
POL;94;46;145
PRT;75;191;221
ROU;219;132;129
RUS;86;221;112
SRB;110;92;87
SVK;42;170;178
SVN;212;228;42
SWE;230;73;107
TUR;172;27;216
UKR;91;48;227
