country_iso3;icon_file;status;note
ALB;ALB.svg;generated;generated_army_icon_svg
AUT;AUT.svg;generated;generated_army_icon_svg
BEL;BEL.svg;generated;generated_army_icon_svg
BGR;BGR.svg;generated;generated_army_icon_svg
BIH;BIH.svg;generated;generated_army_icon_svg
BLR;BLR.svg;generated;generated_army_icon_svg
CHE;CHE.svg;generated;generated_army_icon_svg
CYP;CYP.svg;generated;generated_army_icon_svg
CZE;CZE.svg;generated;generated_army_icon_svg
DEU;DEU.svg;generated;generated_army_icon_svg
DNK;DNK.svg;generated;generated_army_icon_svg
ESP;ESP.svg;generated;generated_army_icon_svg
EST;EST.svg;generated;generated_army_icon_svg
FIN;FIN.svg;generated;generated_army_icon_svg
FRA;FRA.svg;generated;generated_army_icon_svg
GBR;GBR.svg;generated;generated_army_icon_svg
GEO;GEO.svg;generated;generated_army_icon_svg
GRC;GRC.svg;generated;generated_army_icon_svg
HRV;HRV.svg;generated;generated_army_icon_svg
HUN;HUN.svg;generated;generated_army_icon_svg
IRL;IRL.svg;generated;generated_army_icon_svg
ISL;ISL.svg;generated;generated_army_icon_svg
ITA;ITA.svg;generated;generated_army_icon_svg
KOS;KOS.svg;generated;generated_army_icon_svg
LTU;LTU.svg;generated;generated_army_icon_svg
LUX;LUX.svg;generated;generated_army_icon_svg
LVA;LVA.svg;generated;generated_army_icon_svg
MDA;MDA.svg;generated;generated_army_icon_svg
MKD;MKD.svg;generated;generated_army_icon_svg
MNE;MNE.svg;generated;generated_army_icon_svg
NLD;NLD.svg;generated;generated_army_icon_svg
NOR;NOR.svg;generated;generated_army_icon_svg
POL;POL.svg;generated;generated_army_icon_svg
PRT;PRT.svg;generated;generated_army_icon_svg
ROU;ROU.svg;generated;generated_army_icon_svg
RUS;RUS.svg;generated;generated_army_icon_svg
SRB;SRB.svg;generated;generated_army_icon_svg
SVK;SVK.svg;generated;generated_army_icon_svg
SVN;SVN.svg;generated;generated_army_icon_svg
SWE;SWE.svg;generated;generated_army_icon_svg
TUR;TUR.svg;generated;generated_army_icon_svg
UKR;UKR.svg;generated;generated_army_icon_svg
