country_iso3;flag_file;source_url;status;note
ISL;ISL.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iceland.svg;existing;kept_existing_file
IRL;IRL.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ireland.svg;existing;kept_existing_file
GBR;GBR.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom%20%283-5%29.svg;existing;kept_existing_file
PRT;PRT.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Portugal%20%28official%29.svg;existing;kept_existing_file
ESP;ESP.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain.svg;existing;kept_existing_file
FRA;FRA.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France.svg;existing;kept_existing_file
AND;AND.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Andorra.svg;existing;kept_existing_file
BEL;BEL.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium.svg;existing;kept_existing_file
NLD;NLD.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Netherlands.svg;existing;kept_existing_file
LUX;LUX.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Luxembourg.svg;existing;kept_existing_file
DEU;DEU.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany.svg;existing;kept_existing_file
CHE;CHE.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Switzerland.svg;existing;kept_existing_file
AUT;AUT.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Austria.svg;existing;kept_existing_file
LIE;LIE.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liechtenstein.svg;existing;kept_existing_file
ITA;ITA.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Italy.svg;existing;kept_existing_file
SMR;SMR.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20San%20Marino.svg;existing;kept_existing_file
MLT;MLT.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Malta.svg;existing;kept_existing_file
DNK;DNK.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Denmark.svg;existing;kept_existing_file
NOR;NOR.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Norway.svg;existing;kept_existing_file
SWE;SWE.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sweden.svg;existing;kept_existing_file
FIN;FIN.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Finland.svg;existing;kept_existing_file
EST;EST.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Estonia.svg;existing;kept_existing_file
LVA;LVA.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Latvia.svg;existing;kept_existing_file
LTU;LTU.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lithuania.svg;existing;kept_existing_file
POL;POL.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Poland.svg;existing;kept_existing_file
CZE;CZE.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Czech%20Republic.svg;existing;kept_existing_file
SVK;SVK.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Slovakia.svg;existing;kept_existing_file
HUN;HUN.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hungary.svg;existing;kept_existing_file
SVN;SVN.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Slovenia.svg;existing;kept_existing_file
HRV;HRV.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Croatia.svg;existing;kept_existing_file
BIH;BIH.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bosnia%20and%20Herzegovina.svg;existing;kept_existing_file
SRB;SRB.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Serbia.svg;existing;kept_existing_file
MNE;MNE.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Montenegro.svg;existing;kept_existing_file
MKD;MKD.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20North%20Macedonia.svg;existing;kept_existing_file
ALB;ALB.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania.svg;existing;kept_existing_file
KOS;KOS.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kosovo.svg;existing;kept_existing_file
GRC;GRC.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Greece.svg;existing;kept_existing_file
CYP;CYP.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cyprus.svg;existing;kept_existing_file
BGR;BGR.svg;http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria.svg;existing;kept_existing_file
