country_iso3;ideology;flag_file;source_url;status;note
ALB;autokracie;ALB__autokracie.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\ALB_neutrality.png;downloaded;local_folder_variant:HOI4 Flags|variant:neutrality|local_variant_primary
ALB;demokracie;ALB__demokracie.svg;C:\RP\map_generator_godot\build_map\src\opengs_export\Flags\ALB.svg;downloaded;democracy_from_base_set
ALB;fasismus;ALB__fasismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\ALB_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|local_variant_primary
ALB;komunismus;ALB__komunismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\ALB_communism.png;downloaded;local_folder_variant:HOI4 Flags|variant:communism|local_variant_primary
ALB;kralovstvi;ALB__kralovstvi.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\ALB_neutrality.png;downloaded;local_folder_variant:HOI4 Flags|variant:neutrality|local_duplicate_ok
ALB;nacismum;ALB__nacismum.svg;https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Albania_%281939%E2%80%931943%29.svg;downloaded;wdqs_history_year:1939:1939-1943|alias_from:nacismus
ALB;nacismus;ALB__nacismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\ALB_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|local_duplicate_ok
ALB;royal;ALB__royal.svg;https://upload.wikimedia.org/wikipedia/commons/b/b0/Flag_of_Albania_%281914%E2%80%931920%29.svg;downloaded;wdqs_history_year:1880:1914-1920|alias_from:kralovstvi
AUT;autokracie;AUT__autokracie.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\AUS_neutrality.png;downloaded;local_folder_variant:HOI4 Flags|variant:neutrality|tag_alias:AUT->AUS|local_variant_primary
AUT;demokracie;AUT__demokracie.svg;C:\RP\map_generator_godot\build_map\src\opengs_export\Flags\AUT.svg;downloaded;democracy_from_base_set
AUT;fasismus;AUT__fasismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\AUS_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|tag_alias:AUT->AUS|local_variant_primary
AUT;komunismus;AUT__komunismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\AUS_communism.png;downloaded;local_folder_variant:HOI4 Flags|variant:communism|tag_alias:AUT->AUS|local_variant_primary
AUT;kralovstvi;AUT__kralovstvi.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\AUS_neutrality.png;downloaded;local_folder_variant:HOI4 Flags|variant:neutrality|tag_alias:AUT->AUS|local_duplicate_ok
AUT;nacismum;AUT__nacismum.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\AUS_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|tag_alias:AUT->AUS|local_lowres_deferred|local_duplicate_ok|alias_from:nacismus
AUT;nacismus;AUT__nacismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\AUS_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|tag_alias:AUT->AUS|local_duplicate_ok
AUT;royal;AUT__royal.svg;https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg;downloaded;wdqs_history_year:1880:1919-1938|alias_from:kralovstvi
BEL;autokracie;BEL__autokracie.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\BEL_neutrality.png;downloaded;local_folder_variant:HOI4 Flags|variant:neutrality|local_variant_primary
BEL;demokracie;BEL__demokracie.svg;C:\RP\map_generator_godot\build_map\src\opengs_export\Flags\BEL.svg;downloaded;democracy_from_base_set
BEL;fasismus;BEL__fasismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\BEL_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|local_variant_primary
BEL;komunismus;BEL__komunismus.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\BEL_communism.png;downloaded;local_folder_variant:HOI4 Flags|variant:communism|local_variant_primary
BEL;kralovstvi;BEL__kralovstvi.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\BEL_neutrality.png;downloaded;local_folder_variant:HOI4 Flags|variant:neutrality|local_duplicate_ok
BEL;nacismum;BEL__nacismum.png;C:\RP\map_generator_godot\build_map\src\HOI4 Flags\BEL_fascism.png;downloaded;local_folder_variant:HOI4 Flags|variant:fascism|local_lowres_deferred|local_duplicate_ok|alias_from:nacismus
