province_id;seed_population;source
0;3217665937;area_m2
1;2310267824;area_m2
2;3589729962;area_m2
3;3243956032;area_m2
4;2889252563;area_m2
5;2591655036;area_m2
6;3593773732;area_m2
7;1821874372;area_m2
8;1630673012;area_m2
9;1626970632;area_m2
10;1820039728;area_m2
11;19508802686;area_m2
12;11885740999;area_m2
13;3982905589;area_m2
14;2602395228;area_m2
15;12721887239;area_m2
16;7205545002;area_m2
17;9646181609;area_m2
18;16439729721;area_m2
19;3281790256;area_m2
20;3981301579;area_m2
21;3721820248;area_m2
22;4436627189;area_m2
23;3747655540;area_m2
24;2979197952;area_m2
25;2768940205;area_m2
26;2364551162;area_m2
27;2288221405;area_m2
28;1099717527;area_m2
29;7648665728;area_m2
30;4390203676;area_m2
31;4027961480;area_m2
32;3245331972;area_m2
33;2402187598;area_m2
34;7107047603;area_m2
35;3840278231;area_m2
36;3174808805;area_m2
37;6704801806;area_m2
38;3059679741;area_m2
39;2837130832;area_m2
40;4658789052;area_m2
41;4410166638;area_m2
42;4434750553;area_m2
43;4739008773;area_m2
44;4073897861;area_m2
45;3654910500;area_m2
46;3924775915;area_m2
47;5566289375;area_m2
48;4861064284;area_m2
49;3572683388;area_m2
50;3359660399;area_m2
51;2581902377;area_m2
52;2722689961;area_m2
53;2072149354;area_m2
54;4311202735;area_m2
55;4134381309;area_m2
56;1244322554;area_m2
57;4770920066;area_m2
58;3197797993;area_m2
59;3326751291;area_m2
60;8888072436;area_m2
61;4831616676;area_m2
62;2329531504;area_m2
63;2032898628;area_m2
64;5261715256;area_m2
65;1509190423;area_m2
66;2205694785;area_m2
67;3416896240;area_m2
68;3424637059;area_m2
69;3053089629;area_m2
70;2169299113;area_m2
71;1408410419;area_m2
72;40674743208;area_m2
73;32942147658;area_m2
74;39911622452;area_m2
75;25174823223;area_m2
76;28730921391;area_m2
77;40064875193;area_m2
78;5298749588;area_m2
79;2920836121;area_m2
80;7692686931;area_m2
81;1272594358;area_m2
82;1738612267;area_m2
83;3326600637;area_m2
84;2438165749;area_m2
85;3056364990;area_m2
86;3613848615;area_m2
87;5922573463;area_m2
88;1462562440;area_m2
89;1070624653;area_m2
90;1645746205;area_m2
91;1130713754;area_m2
92;1967946342;area_m2
93;1272293263;area_m2
94;1365064962;area_m2
95;5316557511;area_m2
96;3198337141;area_m2
97;3284639973;area_m2
98;7856327140;area_m2
99;9979573203;area_m2
100;4760292389;area_m2
101;4955106708;area_m2
102;4384804672;area_m2
103;5618476082;area_m2
104;7091264090;area_m2
105;3932233557;area_m2
106;6958034528;area_m2
107;11423205933;area_m2
108;18166832273;area_m2
109;70023785233;area_m2
110;20096412585;area_m2
111;2654180386;area_m2
112;15436182899;area_m2
113;48755131940;area_m2
114;34537869966;area_m2
115;36123335645;area_m2
116;30926895305;area_m2
117;23207598717;area_m2
118;21012407565;area_m2
119;16067931534;area_m2
120;20665209399;area_m2
121;11878958263;area_m2
122;13190911919;area_m2
123;7920647078;area_m2
124;7176094865;area_m2
125;2529824534;area_m2
126;10093481917;area_m2
127;1965169936;area_m2
128;15528516028;area_m2
129;12081034322;area_m2
130;5871538502;area_m2
131;21990126222;area_m2
132;7471282414;area_m2
133;7386022797;area_m2
134;20115006028;area_m2
135;12578666695;area_m2
136;10655071753;area_m2
137;4416746313;area_m2
138;10133141870;area_m2
139;7752902799;area_m2
140;6265217889;area_m2
141;6688120757;area_m2
142;10770349497;area_m2
143;5808161199;area_m2
144;11309522792;area_m2
145;8771239925;area_m2
146;12681774348;area_m2
147;7348746681;area_m2
148;14006543418;area_m2
149;7935811182;area_m2
150;9854611797;area_m2
151;10677651764;area_m2
152;5347672685;area_m2
153;2212699454;area_m2
154;3386439854;area_m2
155;4048772051;area_m2
156;5116752787;area_m2
157;17314648434;area_m2
158;5331779940;area_m2
159;3183349937;area_m2
160;14919983684;area_m2
161;14809264512;area_m2
162;17163864481;area_m2
163;15357024258;area_m2
164;15659623109;area_m2
165;10267241416;area_m2
166;14508311636;area_m2
167;8096609563;area_m2
168;8019834218;area_m2
169;19728854591;area_m2
170;13743050967;area_m2
171;12238938983;area_m2
172;13601554164;area_m2
173;8000802121;area_m2
174;6896866197;area_m2
175;8130951798;area_m2
176;3643771104;area_m2
177;4865179438;area_m2
178;2061084591;area_m2
179;2444103742;area_m2
180;3907306523;area_m2
181;2255033520;area_m2
182;3710613711;area_m2
183;2964255702;area_m2
184;2379073363;area_m2
185;4504274077;area_m2
186;3503326816;area_m2
187;2981602620;area_m2
188;1073268608;area_m2
189;2929914190;area_m2
190;2596209145;area_m2
191;98272896638;area_m2
192;36840413194;area_m2
193;24473972320;area_m2
194;21391161809;area_m2
195;7309777397;area_m2
196;5479493266;area_m2
197;9037284445;area_m2
198;9719892261;area_m2
199;8404879691;area_m2
200;7316293410;area_m2
201;5328635160;area_m2
202;19943886525;area_m2
203;19173921898;area_m2
204;19394107976;area_m2
205;13996667426;area_m2
206;15050762164;area_m2
207;5891408657;area_m2
208;6033249126;area_m2
209;5566142951;area_m2
210;5192444652;area_m2
211;7468079275;area_m2
212;6214052593;area_m2
213;5225371292;area_m2
214;6111812840;area_m2
215;4160220388;area_m2
216;6965501322;area_m2
217;5542294003;area_m2
218;6165593366;area_m2
219;4693852677;area_m2
220;7954648573;area_m2
221;6373113988;area_m2
222;4541406553;area_m2
223;4981408004;area_m2
